metabolites,possible_transformation,transformation_diff_abs,delta_mz,method_1,mz_1,rt_1,method_2,mz_2,rt_2
LIPID_1940-----LIPID_749,COOH → CONH2,1.55825299615e-05,-0.984,LIPID,689.4963,9.72,LIPID,690.4803,7.05
LIPID_4114-----LIPID_4477,Tyr → Trp,1.55825299615e-05,23.016,LIPID,788.6159,15.38,LIPID,765.5999,16.17
C36:1_PC-----LIPID_4477,Tyr → Trp,1.55825299615e-05,23.016,LIPID,788.6159,14.59,LIPID,765.5999,16.17
LIPID_3049-----LIPID_2960,COOH → CONH2,1.55825299615e-05,-0.984,LIPID,900.0626,13.38,LIPID,901.0466,13.22
LIPID_3666-----LIPID_3568,Tyr → Trp,1.55825299615e-05,23.016,LIPID,933.6003,14.56,LIPID,910.5843,14.35
LIPID_842-----LIPID_566,COOH → CONH2,1.55825300183e-05,-0.984,LIPID,488.3219,7.22,LIPID,489.3059,6.77
LIPID_1465-----LIPID_1097,COOH → CONH2,1.55825300752e-05,-0.984,LIPID,558.3998,8.42,LIPID,559.3838,7.6
LIPID_826-----LIPID_995,COOH → CONH2,1.55825300752e-05,-0.984,LIPID,589.4065,7.16,LIPID,590.3905,7.44
LIPID_807-----LIPID_1600,COOH → CONH2,1.55825300752e-05,-0.984,LIPID,609.3612,7.16,LIPID,610.3452,8.66
C18:2_SM-----LIPID_3623,COOH → CONH2,1.55825300752e-05,-0.984,LIPID,749.5565,12.58,LIPID,750.5405,14.5
LIPID_3935-----LIPID_4602,Tyr → Trp,1.55825300752e-05,23.016,LIPID,866.6625,15.14,LIPID,843.6465,16.44
LIPID_1634-----LIPID_310,Glucosylation,2.342009995e-05,162.0528,LIPID,631.3304,8.79,LIPID,469.2776,6.5
LIPID_2179-----LIPID_2038,Glucosylation,2.342009995e-05,162.0528,LIPID,739.5356,10.89,LIPID,577.4828,10.11
LIPID_2707-----LIPID_5207,Glucosylation,2.342009995e-05,162.0528,LIPID,737.5557,12.7,LIPID,575.5029,18.18
LIPID_5204-----LIPID_2467,Glucosylation,2.342009995e-05,162.0528,LIPID,859.5783,18.17,LIPID,697.5255,12.0
LIPID_160-----LIPID_1090,Glucosylation,2.34201000069e-05,162.0528,LIPID,669.2817,6.17,LIPID,507.2289,7.59
LIPID_922-----LIPID_1221,Glucosylation,2.34201000637e-05,162.0528,LIPID,562.3951,7.36,LIPID,400.3423,7.9
LIPID_2642-----LIPID_2432,Glucosylation,2.34201000637e-05,162.0528,LIPID,711.5408,12.45,LIPID,549.488,11.84
LIPID_2658-----LIPID_3611,Carboxylation,2.92391199395e-05,43.9898,LIPID,866.5868,12.54,LIPID,822.597,14.44
LIPID_4509-----LIPID_5159,Carboxylation,2.92391199395e-05,43.9898,LIPID,909.7146,16.26,LIPID,865.7248,17.98
LIPID_3511-----LIPID_2357,Carboxylation,2.92391199395e-05,43.9898,LIPID,878.583,14.23,LIPID,834.5932,11.56
LIPID_3167-----LIPID_3191,Carboxylation,2.92391199395e-05,43.9898,LIPID,920.5574,13.62,LIPID,876.5676,13.65
LIPID_3167-----LIPID_3369,Carboxylation,2.92391199395e-05,43.9898,LIPID,920.5574,13.62,LIPID,876.5676,13.98
